elapsed_time,steer_angle,wheel_speed_fl,wheel_speed_fr,wheel_speed_rl,wheel_speed_rr,yaw_rate,acc_x,acc_y,true_vx,true_x,true_y,true_yaw
18.08,3.29,793.0,762.0,747.0,766.0,0.204,7.864,7.288,15.067,33.457,29.067,3.983
18.1,3.29,763.0,762.0,757.0,769.0,0.139,6.857,1.565,15.225,33.258,28.839,3.989
18.12,3.29,762.0,770.0,760.0,772.0,0.11,6.257,-2.006,15.418,33.052,28.585,3.994
18.14,2.65,773.0,774.0,769.0,777.0,0.107,6.62,4.238,15.554,32.852,28.349,3.999
18.16,2.65,777.0,783.0,774.0,783.0,0.071,6.122,2.303,15.691,32.651,28.11,4.002
18.18,2.65,779.0,785.0,783.0,787.0,0.023,3.858,-2.952,15.825,32.449,27.868,4.005
18.2,2.026,793.0,791.0,786.0,790.0,0.013,2.985,-0.949,16.004,32.231,27.604,4.007
18.22,2.026,798.0,790.0,792.0,795.0,-0.013,3.1,2.663,16.169,32.01,27.337,4.009
18.24,1.341,794.0,792.0,795.0,795.0,-0.075,1.665,-1.83,16.27,31.804,27.087,4.01
18.26,1.341,788.0,788.0,797.0,793.0,-0.134,-1.315,-4.199,16.351,31.596,26.835,4.01
18.28,0.608,791.0,783.0,787.0,786.0,-0.166,-3.66,-3.27,16.404,31.388,26.583,4.009
18.3,0.608,793.0,776.0,785.0,777.0,-0.196,-4.152,-3.55,16.422,31.159,26.347,4.007
18.32,0.608,789.0,773.0,782.0,761.0,-0.276,-5.724,-5.517,16.406,30.926,26.114,4.004
18.34,-0.099,779.0,764.0,777.0,759.0,-0.336,-5.673,-7.253,16.359,30.712,25.866,4.001
18.36,-0.099,781.0,757.0,775.0,753.0,-0.346,-4.812,-3.767,16.281,30.497,25.62,3.997
18.38,-0.099,778.0,749.0,775.0,749.0,-0.363,-3.654,-5.658,16.185,30.283,25.376,3.992
18.4,-0.874,772.0,747.0,770.0,745.0,-0.404,-2.394,-10.227,16.064,30.08,25.137,3.987
18.42,-0.874,770.0,745.0,771.0,745.0,-0.436,-1.28,-8.925,15.946,29.879,24.9,3.98
18.44,-1.648,779.0,744.0,770.0,744.0,-0.448,0.157,-6.235,15.867,29.665,24.664,3.973
18.46,-1.648,775.0,741.0,774.0,746.0,-0.466,0.462,-6.728,15.812,29.45,24.431,3.965
18.48,-1.648,772.0,740.0,773.0,745.0,-0.521,0.734,-8.732,15.779,29.234,24.201,3.956
18.5,-2.458,769.0,736.0,776.0,743.0,-0.547,-0.226,-6.985,15.765,29.023,23.965,3.948
18.52,-2.458,775.0,736.0,777.0,742.0,-0.565,-0.187,-10.588,15.761,28.812,23.73,3.939
18.54,-3.165,777.0,734.0,776.0,740.0,-0.592,1.015,-9.027,15.757,28.591,23.505,3.929
18.56,-3.165,774.0,737.0,777.0,739.0,-0.657,1.326,-14.808,15.755,28.368,23.283,3.918
18.58,-3.165,777.0,738.0,777.0,738.0,-0.686,0.993,-10.861,15.759,28.143,23.062,3.907
18.6,-3.84,782.0,736.0,777.0,736.0,-0.703,0.646,-6.147,15.844,27.871,22.841,3.894
18.62,-3.84,779.0,732.0,778.0,737.0,-0.688,-0.514,-6.759,15.856,27.637,22.627,3.882
18.64,-4.461,771.0,730.0,778.0,736.0,-0.666,-0.459,-9.222,15.871,27.4,22.416,3.868
18.66,-4.461,768.0,729.0,779.0,735.0,-0.62,-0.942,-15.686,15.88,27.16,22.208,3.855
18.68,-4.461,768.0,734.0,773.0,735.0,-0.591,-0.069,-14.13,15.879,26.918,22.003,3.841
18.7,-5.034,769.0,730.0,772.0,733.0,-0.633,0.844,-5.175,15.872,26.673,21.8,3.828
18.72,-5.034,772.0,730.0,770.0,734.0,-0.734,2.081,-7.471,15.562,26.558,21.66,3.824
18.74,-5.44,778.0,727.0,777.0,731.0,-0.821,1.306,-13.612,15.56,26.317,21.463,3.811
18.76,-5.44,781.0,727.0,781.0,730.0,-0.837,0.945,-13.531,15.569,26.073,21.271,3.798
18.78,-5.44,780.0,728.0,781.0,730.0,-0.83,1.0,-11.336,15.585,25.825,21.081,3.784
18.8,-5.859,777.0,725.0,780.0,730.0,-0.833,-0.012,-10.5,15.645,25.562,20.878,3.767
18.82,-5.859,778.0,724.0,783.0,730.0,-0.777,-1.107,-13.364,15.703,25.296,20.678,3.749
18.84,-6.262,777.0,726.0,781.0,728.0,-0.765,-0.119,-14.818,15.711,25.039,20.497,3.732
18.86,-6.262,775.0,723.0,778.0,728.0,-0.76,-0.09,-16.764,15.713,24.779,20.319,3.716
18.88,-6.262,773.0,728.0,775.0,730.0,-0.783,0.868,-14.368,15.714,24.517,20.146,3.7
18.9,-6.448,779.0,726.0,776.0,730.0,-0.796,1.272,-8.827,15.746,24.239,19.979,3.686
18.92,-6.448,781.0,727.0,778.0,730.0,-0.802,0.232,-6.796,15.784,23.957,19.817,3.672
18.94,-6.534,778.0,729.0,780.0,731.0,-0.788,1.203,-11.717,15.803,23.685,19.657,3.656
18.96,-6.534,776.0,729.0,781.0,732.0,-0.798,3.001,-13.623,15.826,23.41,19.502,3.64
18.98,-6.534,783.0,732.0,782.0,737.0,-0.785,3.225,-13.569,15.855,23.132,19.349,3.624
19.0,-6.634,784.0,735.0,787.0,741.0,-0.783,4.192,-8.959,15.864,22.862,19.202,3.61
19.02,-6.634,785.0,738.0,789.0,749.0,-0.8,4.128,-9.5,15.881,22.59,19.058,3.595
19.04,-6.566,785.0,740.0,794.0,754.0,-0.79,4.413,-11.586,15.934,22.306,18.916,3.579
19.06,-6.566,793.0,743.0,791.0,750.0,-0.723,2.508,-12.011,15.997,22.018,18.778,3.563
19.08,-6.566,790.0,747.0,792.0,749.0,-0.66,1.799,-10.445,16.058,21.727,18.643,3.548
19.1,-6.448,787.0,754.0,790.0,750.0,-0.624,2.316,-7.806,16.105,21.436,18.522,3.535
19.12,-6.448,787.0,764.0,790.0,753.0,-0.584,3.335,-10.813,16.148,21.142,18.406,3.522
19.14,-6.262,794.0,756.0,791.0,756.0,-0.567,4.031,-13.011,16.195,20.843,18.283,3.509
19.16,-6.262,795.0,760.0,794.0,759.0,-0.545,3.056,-6.847,16.245,20.541,18.163,3.496
19.18,-6.262,793.0,764.0,796.0,762.0,-0.539,2.174,-5.383,16.298,20.237,18.048,3.484
19.2,-5.91,796.0,774.0,794.0,765.0,-0.525,1.667,-5.321,16.355,19.931,17.935,3.472
19.22,-5.91,803.0,768.0,798.0,770.0,-0.488,1.524,-10.575,16.241,19.692,17.873,3.465
19.24,-5.507,799.0,770.0,794.0,769.0,-0.44,0.076,-10.181,16.294,19.384,17.768,3.454
19.26,-5.507,788.0,764.0,791.0,767.0,-0.419,-1.19,-3.205,16.333,19.074,17.666,3.444
19.28,-5.507,782.0,762.0,781.0,760.0,-0.418,-4.126,-2.675,16.355,18.763,17.567,3.434
19.3,-5.12,781.0,752.0,778.0,740.0,-0.406,-6.993,-4.771,16.365,18.445,17.477,3.427
19.32,-5.12,769.0,749.0,766.0,733.0,-0.422,-7.78,-8.655,16.341,18.126,17.391,3.42
19.34,-4.682,760.0,742.0,766.0,729.0,-0.402,-7.803,-5.459,16.265,17.812,17.3,3.411
19.36,-4.682,757.0,734.0,755.0,707.0,-0.384,-8.286,-4.498,16.158,17.5,17.212,3.403
19.38,-4.682,750.0,726.0,749.0,696.0,-0.353,-8.544,-4.118,16.024,17.189,17.127,3.395
19.4,-4.176,739.0,716.0,743.0,700.0,-0.312,-8.693,-4.133,15.869,16.88,17.045,3.387
19.42,-4.176,725.0,710.0,731.0,704.0,-0.278,-8.446,-8.247,15.507,16.664,16.988,3.382
19.44,-3.686,718.0,702.0,719.0,700.0,-0.23,-8.016,-3.445,15.343,16.364,16.912,3.375
19.46,-3.686,710.0,691.0,709.0,694.0,-0.188,-8.429,-0.593,15.176,16.068,16.838,3.368
19.48,-3.686,700.0,683.0,702.0,689.0,-0.16,-7.851,-2.975,15.007,15.774,16.767,3.363
19.5,-3.2,687.0,680.0,692.0,682.0,-0.145,-6.876,-3.206,14.845,15.482,16.696,3.36
19.52,-3.2,682.0,676.0,684.0,677.0,-0.113,-6.029,-1.863,14.691,15.193,16.626,3.359
19.54,-2.694,674.0,667.0,674.0,670.0,-0.073,-7.097,1.897,14.539,14.908,16.561,3.355
19.56,-2.694,661.0,661.0,670.0,662.0,-0.04,-7.361,0.358,14.391,14.625,16.497,3.352
19.58,-2.694,649.0,656.0,661.0,656.0,0.009,-7.611,-0.979,14.246,14.345,16.434,3.35
19.6,-2.154,638.0,651.0,650.0,649.0,0.026,-7.355,-0.006,14.103,14.068,16.373,3.349
19.61,-2.154,624.0,642.0,643.0,649.0,0.034,-7.747,1.624,13.895,13.991,16.373,3.352
19.64,-1.565,624.0,638.0,634.0,641.0,0.088,-7.564,3.339,13.671,13.586,16.285,3.351
19.65,-1.565,619.0,632.0,624.0,632.0,0.115,-7.538,3.471,13.594,13.453,16.256,3.351
19.67,-1.565,610.0,627.0,610.0,623.0,0.154,-6.66,1.695,13.44,13.189,16.198,3.352
19.69,-0.96,600.0,622.0,597.0,619.0,0.188,-6.359,0.48,13.288,12.927,16.14,3.353
19.71,-0.96,595.0,612.0,592.0,614.0,0.222,-6.471,4.104,13.08,12.7,16.081,3.358
19.73,-0.32,587.0,607.0,584.0,607.0,0.229,-6.268,4.0,12.939,12.446,16.022,3.361
19.75,-0.32,585.0,602.0,577.0,599.0,0.266,-6.409,5.076,12.804,12.195,15.963,3.364
19.77,-0.32,576.0,601.0,571.0,597.0,0.289,-5.859,4.053,12.673,11.947,15.903,3.368
19.79,0.256,570.0,595.0,564.0,593.0,0.319,-5.166,3.71,12.546,11.702,15.843,3.373
19.81,0.256,565.0,589.0,557.0,589.0,0.336,-5.206,4.384,12.409,11.467,15.78,3.38
19.83,0.944,558.0,585.0,552.0,583.0,0.36,-5.07,5.77,12.293,11.228,15.717,3.385
19.85,0.944,551.0,582.0,544.0,579.0,0.412,-4.283,5.58,12.183,10.991,15.654,3.392
19.87,0.944,546.0,583.0,537.0,576.0,0.481,-4.599,6.017,12.082,10.757,15.589,3.398
19.89,1.722,540.0,578.0,534.0,575.0,0.539,-4.237,8.771,11.986,10.526,15.523,3.406
19.91,1.722,534.0,578.0,529.0,575.0,0.582,-3.412,6.873,11.958,10.264,15.462,3.418
19.93,2.544,531.0,575.0,526.0,573.0,0.619,-3.418,7.61,11.871,10.035,15.393,3.427
19.95,2.544,530.0,575.0,523.0,573.0,0.657,-2.795,9.501,11.79,9.809,15.322,3.438
19.97,2.544,525.0,574.0,519.0,571.0,0.701,-2.44,8.837,11.716,9.586,15.249,3.449
19.99,3.35,525.0,574.0,521.0,572.0,0.73,-1.843,7.792,11.652,9.364,15.174,3.461
20.01,3.35,518.0,568.0,521.0,576.0,0.748,-0.088,10.518,11.523,9.176,15.11,3.475
20.03,4.189,517.0,568.0,521.0,572.0,0.759,-0.237,7.65,11.407,8.993,15.046,3.489
20.05,4.189,517.0,570.0,520.0,575.0,0.749,-0.375,8.367,11.38,8.78,14.964,3.504
20.07,4.189,517.0,570.0,522.0,575.0,0.772,-0.095,11.64,11.363,8.569,14.878,3.518
20.09,5.056,521.0,572.0,523.0,575.0,0.815,0.511,12.295,11.355,8.36,14.79,3.533
20.11,5.056,519.0,573.0,522.0,577.0,0.838,0.851,8.809,11.389,8.139,14.69,3.549
20.13,5.866,514.0,574.0,520.0,578.0,0.882,1.072,7.438,11.394,7.932,14.594,3.565
20.15,5.866,513.0,578.0,521.0,581.0,0.891,0.156,10.344,11.405,7.727,14.494,3.581
20.17,5.866,513.0,577.0,518.0,579.0,0.881,-0.506,9.757,11.419,7.523,14.391,3.597
20.19,6.582,519.0,576.0,519.0,578.0,0.871,-0.468,11.473,11.431,7.321,14.284,3.614
20.21,6.582,524.0,576.0,518.0,577.0,0.829,-0.158,7.422,11.407,7.129,14.187,3.633
20.23,6.749,523.0,575.0,518.0,573.0,0.741,-0.59,7.427,11.41,6.93,14.074,3.65
20.25,6.749,523.0,572.0,523.0,573.0,0.644,0.206,7.357,11.405,6.734,13.958,3.667
20.27,6.749,528.0,568.0,529.0,573.0,0.567,2.09,5.139,11.4,6.539,13.839,3.683
20.29,6.672,533.0,567.0,533.0,571.0,0.509,2.415,5.803,11.404,6.346,13.718,3.698
20.31,6.672,540.0,568.0,539.0,570.0,0.426,1.715,5.58,11.497,6.135,13.564,3.706
20.33,6.202,543.0,569.0,543.0,570.0,0.352,1.835,1.371,11.524,5.944,13.436,3.718
20.35,6.202,542.0,564.0,540.0,568.0,0.286,-1.128,1.573,11.559,5.754,13.305,3.728
20.37,6.202,535.0,560.0,539.0,564.0,0.243,-3.838,1.413,11.59,5.564,13.173,3.737
20.39,5.606,534.0,553.0,534.0,556.0,0.23,-8.244,3.125,11.599,5.375,13.039,3.744
20.41,5.606,532.0,547.0,527.0,547.0,0.189,-8.262,1.257,11.584,5.172,12.91,3.747
20.43,4.752,523.0,537.0,522.0,537.0,0.172,-7.514,1.295,11.512,4.984,12.776,3.753
20.45,4.752,518.0,529.0,511.0,521.0,0.131,-7.637,-1.893,11.402,4.797,12.642,3.757
20.47,4.752,512.0,521.0,504.0,519.0,0.063,-6.756,-2.776,11.264,4.613,12.509,3.761
20.49,3.67,505.0,514.0,496.0,507.0,0.005,-7.517,0.133,11.114,4.432,12.377,3.765
20.51,3.67,503.0,500.0,492.0,497.0,-0.044,-7.897,-1.214,10.879,4.287,12.266,3.767
20.53,3.67,497.0,493.0,491.0,488.0,-0.107,-7.485,-2.202,10.73,4.112,12.138,3.769
20.55,2.301,492.0,483.0,486.0,477.0,-0.173,-6.759,-3.627,10.58,3.94,12.012,3.769
20.57,2.301,487.0,475.0,480.0,463.0,-0.255,-5.414,-4.513,10.433,3.769,11.889,3.768
20.59,0.762,484.0,467.0,478.0,438.0,-0.341,-4.821,-4.814,10.291,3.6,11.768,3.766
20.61,0.762,479.0,459.0,476.0,418.0,-0.427,-5.921,-6.242,10.112,3.451,11.664,3.761
20.63,0.762,479.0,450.0,472.0,418.0,-0.503,-5.198,-6.312,9.99,3.286,11.549,3.756
20.65,-0.79,477.0,444.0,472.0,417.0,-0.567,-4.368,-7.057,9.877,3.122,11.436,3.75
20.67,-0.79,475.0,438.0,468.0,410.0,-0.637,-3.96,-8.275,9.773,2.959,11.327,3.741
20.69,-2.49,472.0,430.0,466.0,411.0,-0.708,-3.739,-6.124,9.676,2.796,11.22,3.732
20.71,-2.49,474.0,428.0,465.0,408.0,-0.761,-2.5,-7.388,9.556,2.645,11.126,3.719
20.73,-2.49,467.0,423.0,463.0,416.0,-0.781,-2.483,-9.775,9.479,2.482,11.026,3.706
20.75,-4.022,467.0,418.0,463.0,416.0,-0.768,-2.237,-7.448,9.415,2.319,10.93,3.693
20.77,-4.022,467.0,414.0,463.0,415.0,-0.759,-0.707,-6.314,9.36,2.156,10.837,3.678
20.79,-5.622,465.0,411.0,463.0,415.0,-0.792,-0.248,-9.241,9.318,1.992,10.747,3.663
20.81,-5.622,464.0,417.0,461.0,413.0,-0.82,0.082,-9.538,9.278,1.839,10.648,3.652
20.83,-5.622,465.0,415.0,464.0,413.0,-0.839,0.085,-6.578,9.259,1.674,10.562,3.636
20.85,-7.174,463.0,413.0,463.0,412.0,-0.876,-0.002,-6.78,9.251,1.508,10.48,3.621
20.87,-7.174,463.0,410.0,464.0,411.0,-0.899,0.315,-7.564,9.253,1.341,10.401,3.604
20.89,-8.89,465.0,409.0,465.0,410.0,-0.934,0.242,-11.362,9.26,1.172,10.324,3.587
20.91,-8.89,466.0,410.0,466.0,409.0,-0.989,0.675,-9.899,9.217,1.027,10.255,3.572
20.93,-8.89,470.0,411.0,468.0,413.0,-1.101,0.962,-7.813,9.174,0.882,10.189,3.557
20.95,-10.272,474.0,410.0,473.0,419.0,-1.176,1.93,-8.765,9.186,0.711,10.121,3.538
20.97,-10.272,475.0,409.0,476.0,417.0,-1.169,3.241,-10.058,9.205,0.539,10.055,3.517
20.99,-11.248,475.0,413.0,480.0,414.0,-1.074,2.66,-10.816,9.237,0.366,9.993,3.496
21.01,-11.248,476.0,415.0,479.0,420.0,-0.971,2.797,-7.757,9.331,0.166,9.925,3.472
21.03,-11.248,477.0,421.0,477.0,420.0,-0.903,4.129,-6.018,9.38,-0.013,9.87,3.45
21.05,-11.635,479.0,427.0,483.0,429.0,-0.839,5.875,-5.223,9.44,-0.194,9.817,3.429
21.07,-11.635,482.0,434.0,486.0,437.0,-0.779,6.595,-6.566,9.516,-0.376,9.768,3.409
21.09,-11.603,485.0,443.0,489.0,443.0,-0.721,6.919,-6.355,9.605,-0.562,9.721,3.39
21.11,-11.603,490.0,452.0,493.0,450.0,-0.677,6.394,-5.016,9.715,-0.748,9.675,3.384
21.13,-11.603,502.0,469.0,498.0,455.0,-0.625,5.957,-2.992,9.835,-0.938,9.632,3.368
21.15,-11.267,518.0,511.0,501.0,464.0,-0.586,7.574,-4.507,9.964,-1.131,9.59,3.353
21.17,-11.267,529.0,543.0,507.0,470.0,-0.546,9.759,-6.397,10.096,-1.327,9.549,3.34
21.19,-10.861,527.0,526.0,515.0,481.0,-0.519,9.905,-5.301,10.244,-1.527,9.51,3.327
21.21,-10.861,533.0,507.0,525.0,492.0,-0.506,9.392,-3.12,10.333,-1.697,9.483,3.319
21.23,-10.861,544.0,507.0,533.0,501.0,-0.496,7.286,-3.398,10.432,-1.869,9.457,3.311
21.25,-10.189,580.0,524.0,538.0,509.0,-0.477,8.501,-4.071,10.61,-2.076,9.422,3.3
21.27,-10.189,621.0,530.0,547.0,522.0,-0.454,8.82,-3.026,10.791,-2.287,9.389,3.29
21.29,-9.094,647.0,536.0,555.0,542.0,-0.433,9.163,-2.671,10.968,-2.502,9.356,3.28
21.31,-9.094,662.0,547.0,562.0,548.0,-0.392,7.616,-4.206,11.145,-2.723,9.336,3.273
21.33,-9.094,674.0,557.0,566.0,544.0,-0.359,7.512,-5.895,11.315,-2.945,9.306,3.264
21.35,-7.914,688.0,558.0,572.0,551.0,-0.34,7.609,-2.175,11.484,-3.171,9.277,3.255
21.37,-7.914,671.0,570.0,579.0,558.0,-0.36,8.605,-1.473,11.648,-3.4,9.249,3.247
21.39,-6.835,624.0,576.0,589.0,565.0,-0.373,7.507,-4.954,11.81,-3.633,9.222,3.24
21.41,-6.835,593.0,578.0,593.0,572.0,-0.345,6.099,-4.223,11.899,-3.84,9.218,3.234
21.43,-6.835,595.0,583.0,595.0,577.0,-0.317,5.133,-2.209,12.048,-4.078,9.195,3.227
21.45,-5.91,602.0,590.0,599.0,582.0,-0.282,4.727,-2.389,12.188,-4.319,9.173,3.22
21.47,-5.91,605.0,592.0,599.0,588.0,-0.244,3.859,-3.106,12.317,-4.563,9.153,3.213
21.49,-5.069,606.0,596.0,601.0,591.0,-0.193,3.422,-1.799,12.429,-4.809,9.133,3.207
21.51,-5.069,604.0,596.0,604.0,597.0,-0.145,2.013,0.272,12.453,-5.026,9.131,3.204
21.53,-5.069,602.0,598.0,603.0,595.0,-0.109,-1.038,-0.633,12.534,-5.276,9.115,3.199
21.55,-4.31,600.0,594.0,595.0,591.0,-0.081,-3.575,0.848,12.59,-5.526,9.099,3.195
21.57,-4.31,595.0,589.0,593.0,588.0,-0.056,-5.193,0.467,12.612,-5.778,9.083,3.192
21.59,-3.45,584.0,585.0,588.0,580.0,-0.029,-6.886,-2.158,12.598,-6.03,9.068,3.189
21.61,-3.45,572.0,577.0,578.0,572.0,-0.013,-8.436,0.08,12.531,-6.276,9.061,3.19
21.63,-3.45,559.0,572.0,569.0,563.0,0.025,-9.029,1.508,12.435,-6.525,9.047,3.189
21.65,-2.608,543.0,563.0,558.0,553.0,0.068,-9.493,2.048,12.308,-6.773,9.032,3.188
21.67,-2.608,540.0,555.0,551.0,544.0,0.093,-8.876,2.024,12.157,-7.017,9.018,3.188
21.69,-1.834,536.0,550.0,538.0,535.0,0.117,-9.271,1.037,11.991,-7.259,9.003,3.189
21.71,-1.834,528.0,540.0,530.0,530.0,0.13,-8.736,1.112,11.741,-7.464,9.008,3.193
21.73,-1.834,516.0,533.0,519.0,522.0,0.136,-8.945,1.209,11.559,-7.697,8.994,3.194
21.74,-1.11,508.0,524.0,507.0,522.0,0.138,-9.113,1.582,11.468,-7.812,8.987,3.195
21.76,-1.11,501.0,514.0,493.0,513.0,0.156,-8.374,2.367,11.287,-8.039,8.973,3.198
21.78,-0.403,495.0,508.0,482.0,500.0,0.178,-7.552,3.427,11.109,-8.263,8.958,3.2
21.8,-0.403,488.0,504.0,468.0,482.0,0.208,-7.392,1.875,10.898,-8.466,8.952,3.204
21.82,-0.403,480.0,494.0,453.0,474.0,0.228,-8.061,2.123,10.694,-8.664,8.947,3.207
21.84,0.195,468.0,487.0,450.0,470.0,0.24,-8.893,2.272,10.533,-8.876,8.932,3.211
21.86,0.195,457.0,480.0,441.0,470.0,0.238,-8.42,1.648,10.372,-9.085,8.917,3.215
21.88,0.195,450.0,471.0,424.0,462.0,0.26,-8.014,2.95,10.209,-9.29,8.901,3.219
21.9,0.762,445.0,465.0,409.0,449.0,0.301,-7.869,4.426,10.043,-9.493,8.884,3.224
21.92,0.762,437.0,460.0,409.0,428.0,0.344,-7.959,3.066,9.747,-9.631,8.875,3.23
21.94,1.232,427.0,451.0,396.0,413.0,0.34,-7.793,0.897,9.579,-9.823,8.857,3.236
21.96,1.232,418.0,442.0,375.0,415.0,0.337,-8.006,3.095,9.415,-10.013,8.839,3.242
21.98,1.734,408.0,434.0,359.0,406.0,0.361,-7.544,3.388,9.254,-10.199,8.82,3.248
22.0,1.734,399.0,427.0,330.0,391.0,0.375,-7.414,1.556,9.091,-10.378,8.794,3.255
22.02,1.734,394.0,421.0,295.0,386.0,0.398,-6.921,2.699,8.93,-10.554,8.766,3.263
22.04,2.163,387.0,415.0,272.0,373.0,0.444,-7.154,4.59,8.777,-10.73,8.743,3.27
22.06,2.163,378.0,410.0,256.0,367.0,0.479,-8.135,4.115,8.626,-10.902,8.72,3.278
22.08,2.163,366.0,403.0,238.0,380.0,0.506,-8.591,5.46,8.477,-11.072,8.696,3.286
22.1,2.787,359.0,396.0,218.0,387.0,0.563,-7.505,6.443,8.326,-11.239,8.671,3.295
22.12,2.787,347.0,391.0,179.0,383.0,0.593,-6.651,7.082,8.134,-11.381,8.644,3.307
22.14,3.715,341.0,386.0,125.0,377.0,0.621,-6.196,7.346,7.983,-11.54,8.616,3.317
22.16,3.715,329.0,381.0,125.0,371.0,0.659,-6.345,6.898,7.836,-11.696,8.587,3.328
22.18,4.934,325.0,376.0,71.0,368.0,0.729,-6.835,8.482,7.698,-11.848,8.555,3.34
22.2,4.934,320.0,372.0,47.0,369.0,0.812,-6.306,8.228,7.566,-12.003,8.538,3.355
22.22,4.934,315.0,373.0,44.0,368.0,0.9,-4.66,7.613,7.438,-12.155,8.521,3.371
22.24,6.49,311.0,373.0,43.0,368.0,0.98,-3.7,8.186,7.318,-12.299,8.486,3.386
22.26,6.49,303.0,371.0,54.0,367.0,1.038,-3.588,8.204,7.209,-12.439,8.449,3.402
22.28,8.349,299.0,370.0,88.0,368.0,1.101,-4.079,8.749,7.11,-12.577,8.409,3.419
22.3,8.349,295.0,368.0,128.0,365.0,1.161,-4.176,9.546,7.036,-12.712,8.351,3.441
22.32,8.349,292.0,368.0,165.0,363.0,1.222,-3.669,10.239,6.974,-12.844,8.288,3.465
22.34,10.512,288.0,368.0,200.0,362.0,1.269,-2.485,9.337,6.906,-12.974,8.237,3.487
22.36,10.512,287.0,366.0,216.0,362.0,1.322,-2.76,9.96,6.844,-13.1,8.183,3.51
22.38,12.829,287.0,369.0,232.0,362.0,1.377,-2.487,10.112,6.787,-13.225,8.126,3.534
22.4,12.829,284.0,369.0,249.0,361.0,1.418,-2.921,10.594,6.748,-13.345,8.054,3.56
22.42,12.829,284.0,369.0,270.0,360.0,1.421,-2.179,11.593,6.717,-13.462,7.977,3.588
22.44,15.296,282.0,367.0,269.0,359.0,1.393,-2.701,10.424,6.682,-13.578,7.909,3.615
22.46,15.296,279.0,366.0,270.0,357.0,1.372,-2.777,9.657,6.647,-13.691,7.837,3.643
22.48,17.734,278.0,363.0,268.0,357.0,1.391,-2.466,10.313,6.615,-13.801,7.762,3.671
22.5,17.734,277.0,365.0,263.0,355.0,1.433,-2.016,9.41,6.577,-13.904,7.686,3.698
22.52,17.734,277.0,365.0,263.0,355.0,1.492,-1.47,9.569,6.541,-14.005,7.607,3.726
22.54,20.112,274.0,366.0,261.0,357.0,1.53,-1.817,9.543,6.516,-14.106,7.523,3.754
22.56,20.112,270.0,365.0,258.0,356.0,1.555,-2.31,10.244,6.494,-14.204,7.437,3.783
22.58,20.112,268.0,364.0,257.0,358.0,1.553,-2.344,10.76,6.474,-14.3,7.348,3.812
22.6,22.4,270.0,362.0,255.0,355.0,1.566,-2.912,12.078,6.444,-14.387,7.255,3.844
22.62,22.4,269.0,362.0,252.0,355.0,1.576,-2.623,11.705,6.411,-14.471,7.16,3.876
22.64,24.41,271.0,362.0,249.0,353.0,1.615,-2.802,11.007,6.382,-14.555,7.064,3.907
22.66,24.41,267.0,363.0,243.0,353.0,1.67,-2.621,8.851,6.349,-14.637,6.964,3.939
22.68,24.41,266.0,362.0,238.0,353.0,1.707,-2.426,9.221,6.316,-14.714,6.863,3.97
22.7,26.131,266.0,362.0,239.0,353.0,1.72,-2.712,10.837,6.261,-14.779,6.765,4.004
22.72,26.131,264.0,361.0,237.0,352.0,1.713,-3.29,11.195,6.207,-14.84,6.666,4.039
22.74,27.504,264.0,360.0,234.0,350.0,1.727,-3.391,11.557,6.177,-14.905,6.56,4.072
22.76,27.504,264.0,358.0,228.0,348.0,1.741,-2.788,11.705,6.144,-14.965,6.452,4.106
22.78,27.504,260.0,361.0,221.0,348.0,1.754,-2.854,9.812,6.11,-15.022,6.342,4.141
22.8,28.662,259.0,356.0,216.0,347.0,1.763,-2.942,9.83,6.073,-15.061,6.228,4.174
22.82,28.662,259.0,356.0,224.0,348.0,1.777,-2.567,10.326,6.039,-15.093,6.112,4.207
22.84,29.651,259.0,356.0,227.0,345.0,1.749,-2.188,9.882,6.01,-15.135,5.998,4.242
22.86,29.651,257.0,354.0,231.0,344.0,1.719,-2.317,10.56,5.985,-15.173,5.883,4.278
22.88,29.651,257.0,353.0,231.0,341.0,1.689,-2.091,10.732,5.963,-15.207,5.767,4.313
22.9,30.461,257.0,353.0,232.0,341.0,1.683,-1.792,9.934,5.929,-15.242,5.657,4.347
22.92,30.461,256.0,351.0,231.0,343.0,1.675,-1.176,9.389,5.898,-15.274,5.547,4.381
22.94,30.992,256.0,349.0,231.0,342.0,1.679,-0.949,10.904,5.888,-15.296,5.43,4.415
22.96,30.992,260.0,349.0,234.0,343.0,1.669,-1.063,11.644,5.883,-15.315,5.313,4.449
22.98,30.992,260.0,351.0,238.0,346.0,1.663,0.047,10.569,5.883,-15.329,5.195,4.483
23.0,31.206,260.0,353.0,240.0,345.0,1.657,0.2,9.3,5.892,-15.339,5.077,4.516
23.02,31.206,260.0,351.0,243.0,348.0,1.645,0.753,8.823,5.844,-15.342,4.986,4.545
23.04,31.328,262.0,352.0,247.0,351.0,1.647,0.885,10.788,5.868,-15.345,4.868,4.578
23.06,31.328,264.0,352.0,248.0,354.0,1.648,0.809,11.469,5.9,-15.344,4.749,4.612
23.08,31.328,267.0,355.0,250.0,356.0,1.666,0.842,9.898,5.938,-15.338,4.63,4.645
23.1,31.36,270.0,360.0,256.0,359.0,1.709,0.89,9.106,5.989,-15.327,4.506,4.677
23.12,31.36,271.0,363.0,265.0,369.0,1.756,1.59,9.626,6.042,-15.313,4.381,4.71
23.14,31.389,270.0,366.0,268.0,380.0,1.779,2.149,9.949,6.089,-15.295,4.26,4.744
